ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
1840200732,2022-12-08 09:16:55,2022-12-08 09:18:38,Unknown,Android,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,male,35 - 44,1984,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,two,postgraduate,employed_for_wages,real_estate_rental_or_leasing,white,high_iii,en,president_ceo_chairperson,fivehundrendsone_to_thousand,73103 US,31904,South,South Atlantic,3,522,"Columbus, GA (Opelika, AL)",0.63,
122150844,2022-11-29 16:08:34,2022-11-29 16:09:04,Apple,iOS,Audience 1,US,Georgia,"Clinch, Georgia, United States",Homerville,Unknown,male,25 - 34,1992,At least once a week,At least once a week,Several times a year,Once a year or less,Once a year or less,At least once a week,At least once a month,married,zero,vocational_technical_college,student,agriculture_forestry_fishing_or_hunting,white,high_i,en,director,do_not_work,31501 US,31634,South,South Atlantic,1,530,Tallahassee-Thomasville,0.77,
-1455142894,2022-11-29 01:23:35,2022-11-29 01:24:49,Unknown,Web,Audience 1,US,Georgia,"Butts, Georgia, United States",Jackson,Unknown,male,> 54,1963,At least once a week,At least once a week,At least once a month,At least once a month,At least once a month,At least once a month,At least once a week,married,zero,high_school,employed_for_wages,manufacturing_computer_and_electronics,white,middle_ii,en,craftsman,twentysix_to_fifty,30233 US,30233,South,South Atlantic,10,503,Macon,3.21,
-599122686,2022-11-28 16:15:55,2022-11-28 16:16:29,Unknown,Web,Audience 1,US,Georgia,"Gwinnett, Georgia, United States",Lawrenceville,Unknown,female,35 - 44,1986,At least once a month,At least once a month,Several times a year,Once a year or less,Several times a year,At least once a month,At least once a month,single,zero,high_school,self_employed,arts_entertainment_or_recreation,hispanic,lower_ii,"en,es",owner_partner,one,30045 US,30043,South,South Atlantic,10,524,Atlanta,0.42,
288584762,2022-11-28 15:57:59,2022-11-28 15:58:56,Unknown,Web,Audience 1,US,Georgia,"Clarke, Georgia, United States",Athens,Unknown,male,> 54,1967,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,zero,vocational_technical_college,unable_to_work,other,white,lower_ii,en,other_non_management,do_not_work,30606 US,30606,South,South Atlantic,10,524,Atlanta,2.28,
-1532725655,2022-11-28 19:11:26,2022-11-28 19:11:59,Unknown,Web,Audience 1,US,Georgia,"Houston, Georgia, United States",Warner Robins,Unknown,male,18 - 24,2002,Several times a year,Several times a year,Once a year or less,Several times a year,Never,Never,Once a year or less,prefer_not_to_say,zero,middle_school,self_employed,finance_and_insurance,white,middle_i,"en,es",administrative_clerical,eleven_to_twentyfive,,31093,South,South Atlantic,8,503,Macon,0.65,
1798065575,2022-11-29 11:27:19,2022-11-29 11:27:32,Unknown,Web,Audience 1,US,Georgia,"Brantley, Georgia, United States",Hortense,Unknown,female,35 - 44,1984,Never,Never,Never,Never,Never,Never,Never,single,zero,high_school,employed_for_wages,health_care_and_social_assistance,white,lower_i,en,prefer_not_to_say,one,31543 US,31543,South,South Atlantic,1,507,Savannah,0.42,
-1790595617,2022-11-29 03:18:25,2022-11-29 03:18:49,Unknown,Android,Audience 1,US,Georgia,"Dodge, Georgia, United States",Eastman,Unknown,female,25 - 34,1995,At least once a week,At least once a week,Several times a year,At least once a month,At least once a week,At least once a month,At least once a week,living_with_partner,one,university,self_employed,other,white,lower_i,en,not_work,six_to_ten,31035 US,31023,South,South Atlantic,8,503,Macon,0.85,
133891673,2022-11-30 11:01:01,2022-11-30 11:01:46,Unknown,Web,Audience 1,US,Georgia,"Bleckley, Georgia, United States",Cochran,Unknown,female,35 - 44,1978,At least once a week,Several times a year,Several times a year,Several times a year,At least once a month,Several times a year,At least once a week,separated,zero,high_school,self_employed,information_other,white,middle_ii,en,prefer_not_to_say,fiftyone_to_hundrend,31014 US,31014,South,South Atlantic,8,503,Macon,0.72,
1003387332,2022-11-29 04:20:19,2022-11-29 04:20:50,Apple,iOS,Audience 1,US,Georgia,"Houston, Georgia, United States",Warner Robins,Unknown,female,25 - 34,1993,Several times a year,At least once a month,At least once a week,At least once a week,At least once a week,At least once a week,Several times a year,single,two,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,black,lower_ii,en,other_non_management,one,31030 US,31088,South,South Atlantic,8,503,Macon,0.51,
423849722,2022-11-29 04:19:38,2022-11-29 04:20:14,Apple,iOS,Audience 1,US,Georgia,"Ware, Georgia, United States",Waycross,Unknown,female,35 - 44,1985,Once a year or less,At least once a month,Once a year or less,Once a year or less,Never,Once a year or less,Once a year or less,single,zero,middle_school,student,education,black,lower_i,en,supervisor,six_to_ten,31501 US,31503,South,South Atlantic,1,561,Jacksonville,0.42,
-1668301966,2022-11-28 18:59:06,2022-11-28 18:59:24,Unknown,Android,Audience 1,US,Georgia,"Tattnall, Georgia, United States",Cobbtown,Unknown,female,25 - 34,1991,At least once a week,At least once a week,At least once a month,At least once a week,At least once a month,At least once a month,At least once a week,married,zero,high_school,employed_for_wages,health_care_and_social_assistance,white,middle_i,en,senior_management,fivehundrendsone_to_thousand,30474 US,30420,South,South Atlantic,12,507,Savannah,0.51,
549738262,2022-11-28 16:01:07,2022-11-28 16:01:59,Unknown,iOS,Audience 1,US,Georgia,"Clayton, Georgia, United States",Ellenwood,Unknown,female,35 - 44,1985,Once a year or less,At least once a week,Once a year or less,Once a year or less,Several times a year,At least once a week,Several times a year,single,zero,high_school,employed_for_wages,hotel_and_food_services,black,lower_i,en,supervisor,six_to_ten,30260 US,30294,South,South Atlantic,13,524,Atlanta,0.42,
1866529748,2022-11-28 21:52:53,2022-11-28 21:53:35,Unknown,Web,Audience 1,US,Georgia,"Ware, Georgia, United States",Waycross,Unknown,female,25 - 34,1990,At least once a month,Several times a year,At least once a month,Several times a year,Several times a year,Several times a year,Several times a year,married,zero,university,unemployed_looking,homemaker,black,lower_ii,"en,es",prefer_not_to_say,prefer_not_to_say,31503 US,31503,South,South Atlantic,1,561,Jacksonville,0.51,
-199431040,2022-12-02 20:11:17,2022-12-02 20:11:48,Unknown,iOS,Audience 1,US,Georgia,"Appling, Georgia, United States",Baxley,Unknown,male,35 - 44,1979,At least once a month,Once a year or less,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,zero,high_school,unemployed_looking,automotive,hispanic,middle_i,en,chief_technical_officer,do_not_work,31513 US,31513,South,South Atlantic,12,507,Savannah,0.9,
3021483,2022-12-06 10:04:05,2022-12-06 10:04:47,Unknown,iOS,Audience 1,US,Georgia,"Columbia, Georgia, United States",Evans,Unknown,male,45 - 54,1976,At least once a week,At least once a month,At least once a week,Several times a year,At least once a week,Several times a year,At least once a month,married,one,university,employed_for_wages,marketing_sales,asian,lower_ii,en,not_work,fivehundrendsone_to_thousand,30809 US,30809,South,South Atlantic,12,520,Augusta-Aiken,1.08,
-1601884387,2022-11-28 18:28:30,2022-11-28 18:29:14,Unknown,Web,Audience 1,US,Georgia,"Lowndes, Georgia, United States",Hahira,Unknown,female,25 - 34,1996,At least once a month,At least once a month,Never,Several times a year,At least once a month,At least once a month,At least once a week,living_with_partner,two,high_school,homemaker,homemaker,white,lower_ii,en,not_work,do_not_work,31632 US,31632,South,South Atlantic,8,530,Tallahassee-Thomasville,0.85,
-1599201190,2022-11-28 16:47:58,2022-11-28 16:48:25,Unknown,iOS,Audience 1,US,Georgia,"Forsyth, Georgia, United States",Cumming,Unknown,male,25 - 34,1988,At least once a week,Several times a year,At least once a month,Several times a year,At least once a month,At least once a week,At least once a month,living_with_partner,zero,postgraduate,employed_for_wages,finance_and_insurance,white,high_ii,en,technical_staff,greater_than_fivethousands,30040 US,30040,South,South Atlantic,11,524,Atlanta,0.63,
-1548283592,2022-11-28 15:54:42,2022-11-28 15:55:30,Unknown,Web,Audience 1,US,Georgia,"Columbia, Georgia, United States",Evans,Unknown,female,> 54,1958,At least once a week,At least once a week,At least once a week,At least once a week,At least once a month,At least once a week,At least once a week,widowed,two,postgraduate,retired,other,white,high_ii,en,prefer_not_to_say,do_not_work,30907 US,30809,South,South Atlantic,12,520,Augusta-Aiken,2.56,
1720864,2022-11-28 15:53:08,2022-11-28 15:54:50,Apple,Web,Audience 1,US,Georgia,"Cobb, Georgia, United States",Mableton,Unknown,male,45 - 54,1976,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,single,three,high_school,employed_for_wages,construction,white,lower_ii,en,project_management,two_to_five,30168 US,30126,South,South Atlantic,13,524,Atlanta,1.08,
