ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
1023750096,2022-11-29 21:35:28,2022-11-29 21:35:49,Unknown,iOS,Audience 1,US,North Carolina,"Washington, North Carolina, United States",Plymouth,Unknown,female,18 - 24,2002,At least once a month,Several times a year,Once a year or less,At least once a month,Once a year or less,Once a year or less,At least once a month,single,one,university,retired,other,black,lower_i,en,other_non_management,do_not_work,27962 US,27962,South,South Atlantic,1,545,Greenville-N.Bern-Washngtn,0.48,
-808468901,2022-11-28 16:02:05,2022-11-28 16:02:29,Unknown,iOS,Audience 1,US,North Carolina,"Cleveland, North Carolina, United States",Kings Mountain,Unknown,male,35 - 44,1981,At least once a week,Several times a year,At least once a month,At least once a month,At least once a week,At least once a week,Several times a year,married,one,university,employed_for_wages,information_services_and_data,white,high_iii,en,technical_staff,thousandone_to_fivethousands,29708 US,28086,South,South Atlantic,10,517,Charlotte,0.67,
964185199,2022-12-04 21:00:17,2022-12-04 21:01:28,Unknown,Android,Audience 1,US,North Carolina,"Pamlico, North Carolina, United States",Arapahoe,Unknown,male,35 - 44,1982,At least once a week,At least once a month,At least once a week,At least once a month,At least once a week,At least once a month,At least once a week,married,one,high_school,employed_for_wages,construction,black,lower_ii,en,not_work,six_to_ten,27806 US,28510,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.67,
-145185948,2022-11-29 10:29:39,2022-11-29 10:30:18,Unknown,Web,Audience 1,US,North Carolina,"Brunswick, North Carolina, United States",Leland,Unknown,female,> 54,1944,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a month,At least once a week,widowed,zero,postgraduate,retired,other,white,lower_ii,"en,da",prefer_not_to_say,do_not_work,28461 US,28451,South,South Atlantic,7,550,Wilmington,1.79,
1072228201,2022-12-01 08:55:46,2022-12-01 08:56:11,Unknown,Web,Audience 1,US,North Carolina,"Pender, North Carolina, United States",Rocky Point,Unknown,male,35 - 44,1984,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,single,zero,vocational_technical_college,military,construction,white,high_i,en,c_level_executive,twentysix_to_fifty,28451 US,28457,South,South Atlantic,7,550,Wilmington,0.71,
1936669132,2022-11-28 16:06:35,2022-11-28 16:07:08,Unknown,iOS,Audience 1,US,North Carolina,"Wake, North Carolina, United States",Raleigh,Unknown,female,> 54,1965,At least once a week,At least once a month,At least once a month,At least once a week,At least once a week,At least once a week,At least once a week,single,zero,university,employed_for_wages,personal_services,white,high_i,en,director,fiftyone_to_hundrend,27616 US,27616,South,South Atlantic,4,560,Raleigh-Durham (Fayetvlle),1.6,
-588834306,2022-11-28 16:47:30,2022-11-28 16:48:48,Unknown,iOS,Audience 1,US,North Carolina,"Wake, North Carolina, United States",Holly Springs,Unknown,male,18 - 24,2003,At least once a week,At least once a week,At least once a week,Several times a year,At least once a month,Never,At least once a month,prefer_not_to_say,zero,high_school,employed_for_wages,finance_and_insurance,white,lower_i,en,not_work,twentysix_to_fifty,29070 US,27540,South,South Atlantic,6,560,Raleigh-Durham (Fayetvlle),0.58,
-1512546511,2022-12-05 01:27:59,2022-12-05 01:28:55,Unknown,Web,Audience 1,US,North Carolina,"Martin, North Carolina, United States",Williamston,Unknown,male,35 - 44,1984,At least once a week,At least once a month,At least once a week,At least once a month,At least once a month,At least once a month,Never,separated,zero,postgraduate,military,arts_entertainment_or_recreation,other,middle_ii,en,c_level_executive,twentysix_to_fifty,27587 US,27892,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.71,
1618393783,2022-11-28 18:54:15,2022-11-28 18:54:40,Unknown,Web,Audience 1,US,North Carolina,"Rockingham, North Carolina, United States",Reidsville,Unknown,male,25 - 34,1988,At least once a week,At least once a month,Several times a year,Once a year or less,At least once a week,Several times a year,At least once a month,single,zero,high_school,employed_for_wages,other,white,lower_i,en,prefer_not_to_say,six_to_ten,27320 US,27320,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.71,
1581944469,2022-11-28 16:36:02,2022-11-28 16:36:34,Unknown,Android,Audience 1,US,North Carolina,"Burke, North Carolina, United States",Morganton,Unknown,female,45 - 54,1968,Several times a year,At least once a week,Several times a year,Several times a year,At least once a month,Several times a year,Several times a year,widowed,three,high_school,employed_for_wages,wholesale,white,lower_ii,en,sales_staff,two_to_five,28655 US,28655,South,South Atlantic,11,567,Greenvll-Spart-Ashevll-And,1.6,
1722355402,2022-12-05 17:50:11,2022-12-05 17:50:48,Unknown,iOS,Audience 1,US,North Carolina,"Pitt, North Carolina, United States",Greenville,Unknown,male,> 54,1965,At least once a week,At least once a month,At least once a week,At least once a week,At least once a week,At least once a week,At least once a month,married,one,university,employed_for_wages,software,other,middle_i,en,supervisor,fiftyone_to_hundrend,27834 US,27834,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,1.93,
-1151812124,2022-11-28 21:42:30,2022-11-28 21:42:46,Unknown,Android,Audience 1,US,North Carolina,"Ashe, North Carolina, United States",West Jefferson,Unknown,female,25 - 34,1990,At least once a week,At least once a week,At least once a week,At least once a month,At least once a week,At least once a week,At least once a week,living_with_partner,one,high_school,employed_for_wages,hotel_and_food_services,white,middle_i,en,faculty_staff,fiftyone_to_hundrend,28694 US,28694,South,South Atlantic,5,518,Greensboro-H.Point-W.Salem,0.57,
1091269590,2022-11-29 01:40:17,2022-11-29 01:42:15,Unknown,Web,Audience 1,US,North Carolina,"Pitt, North Carolina, United States",Greenville,Unknown,female,35 - 44,1978,At least once a week,Several times a year,Several times a year,At least once a week,Several times a year,At least once a month,At least once a month,married,one,high_school,employed_for_wages,telecommunications,hispanic,middle_ii,en,administrative_clerical,hundrendone_to_twohundrendsfifty,48101 US,27858,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.7,
642046905,2022-12-05 13:28:03,2022-12-05 13:28:33,Unknown,iOS,Audience 1,US,North Carolina,"Bertie, North Carolina, United States",Windsor,Unknown,male,25 - 34,1994,At least once a month,At least once a week,Once a year or less,At least once a month,At least once a month,Several times a year,At least once a week,single,zero,university,employed_for_wages,construction,white,lower_ii,en,other_non_management,twentysix_to_fifty,23851 US,27983,South,South Atlantic,1,545,Greenville-N.Bern-Washngtn,1.02,
415457303,2022-11-29 03:15:46,2022-11-29 03:16:50,Unknown,Web,Audience 1,US,North Carolina,"Davie, North Carolina, United States",Mocksville,Unknown,male,18 - 24,1998,At least once a week,At least once a week,At least once a week,At least once a month,At least once a month,At least once a week,At least once a week,single,zero,middle_school,student,arts_entertainment_or_recreation,white,lower_i,en,other_non_management,do_not_work,,27028,South,South Atlantic,13,518,Greensboro-H.Point-W.Salem,1.02,
-1836171097,2022-11-28 18:36:11,2022-11-28 18:36:50,Unknown,Web,Audience 1,US,North Carolina,"Richmond, North Carolina, United States",Rockingham,Unknown,female,35 - 44,1985,At least once a week,At least once a month,Several times a year,Once a year or less,At least once a week,At least once a week,At least once a month,married,four,university,homemaker,homemaker,asian,lower_ii,en,prefer_not_to_say,two_to_five,28345 US,28379,South,South Atlantic,9,517,Charlotte,0.59,
