"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"59","EPA slashes forever chemical health advisory levels to 'near zero' in ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article262522082.html' target='_blank'>Link to Article</a>","2022-06-15","www.newsobserver.com","GenX and other forever chemicals are proving to be more dangerous than originally thought.","Adam Wagner",""
"60","NC could make companies like Chemours pay for 'forever chemicals ...","<a href='https://www.newsobserver.com/news/politics-government/state-politics/article261980530.html' target='_blank'>Link to Article</a>","2022-06-01","www.newsobserver.com","Should companies that pollute drinking water with the “forever chemicals” known as PFAS pay for treatment technology? Yes, says a new North Carolina bill.","Adam Wagner",""
"61","Duke Energy carbon plan criticized by environmental groups ...","<a href='https://www.newsobserver.com/news/politics-government/article263308853.html' target='_blank'>Link to Article</a>","2022-07-12","www.newsobserver.com","Duke’s carbon plan promises emissions cuts, but environmental groups question the approach. The plan will be discussed at public hearings in coming weeks. Here’s where.","Adam Wagner",""
"62","Sunstone solar plans on Fort Bragg run up against Duke Energy ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article260564317.html' target='_blank'>Link to Article</a>","2022-04-21","www.newsobserver.com","Does a proposed solar power plant on Fort Bragg violate Duke Energy’s regulated monopoly status? The NC Utilities Commission will decide.","Adam Wagner",""
"63","Duke Energy readying carbon plan for NC Utilities Commission ...","<a href='https://www.newsobserver.com/news/business/article260805457.html' target='_blank'>Link to Article</a>","2022-04-29","www.newsobserver.com","Next month, the state’s largest utility will describe how it plans to slash carbon emissions as required in last year’s House Bill 951.","Adam Wagner",""
"64","Seeking new wind farms, feds plan to lease more of the Atlantic off ...","<a href='https://www.newsobserver.com/news/politics-government/article259725390.html' target='_blank'>Link to Article</a>","2022-03-25","www.newsobserver.com","Exclusive: Federal government schedules auction for the rights to build wind farms covering 172 square miles of ocean off North Carolina.","Adam Wagner",""
"65","Construction costs slow NC hurricane recovery home repairs ...","<a href='https://www.newsobserver.com/news/politics-government/article257066712.html' target='_blank'>Link to Article</a>","2022-01-06","www.newsobserver.com","Rising prices for mobile homes force NC to move away from trailers in hurricanes recovery. Officials — and a beleaguered homeowner — see an upside.","Adam Wagner",""
"66","Join live: Experts talk offshore wind energy industry in NC | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article258454533.html' target='_blank'>Link to Article</a>","2022-02-17","www.newsobserver.com","Are you curious about what offshore wind energy could mean in North Carolina? Join The News & Observer for a free, live event on Feb. 24 to learn more about the industry.","Adam Wagner",""
"67","Timeline: NC climate change laws, executive orders & events ...","<a href='https://www.newsobserver.com/news/politics-government/article260409232.html' target='_blank'>Link to Article</a>","2022-04-17","www.newsobserver.com","It can be hard to keep track of North Carolina’s climate commitments. Here are a list of the state’s laws and executive orders that target greenhouse gases.","Adam Wagner",""
"68","Climate, health fuel opponents of NC poultry power plant | Raleigh ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article258652993.html' target='_blank'>Link to Article</a>","2022-02-26","www.newsobserver.com","The NC Renewable Power facility outside of Lumberton has burned chicken waste and what are called “poultry cakes” to generate energy but accrued fines.","Adam Wagner",""
