"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"47","Outrage over Chemours' plans to expand production after ...","<a href='https://www.wral.com/outrage-over-chemours-plans-to-expand-production-after-widespread-chemical-pollution-in-nc-drinking-water/20485049/' target='_blank'>Link to Article</a>","2022-09-20","www.wral.com","Community groups are planning protests at Chemours information sessions tonight in Bladen County and tomorrow in Brunswick County detailing expansion plans as thousands grapple with toxic chemicals from the company's plant in North Carolina drinking water.","Liz McLaughlin",""
"48","Treasury Secretary Janet Yellen visits the Triangle to tour renewable ...","<a href='https://www.wral.com/treasury-secretary-janet-yellen-visits-the-triangle-to-tour-renewable-energy-facility/20494628/' target='_blank'>Link to Article</a>","2022-09-27","www.wral.com","Treasury Secretary Janet Yellen spent Tuesday in Chapel Hill and Durham She visited renewable energy sites and met with area leaders.","Liz McLaughlin",""
"49","More fecal bacteria in oceans after storms","<a href='https://www.wral.com/more-fecal-bacteria-in-oceans-after-storms/20403939/' target='_blank'>Link to Article</a>","2022-08-04","www.wral.com","North Carolina's beaches could be brimming with bacteria due to aging infrastructure. Researchers at the Institute of Marine Sciences in Morehead City said they are seeing more fecal matter indicator bacteria in ocean water.","Liz McLaughlin",""
"50","Growing concern in NC over harmful algae blooms","<a href='https://www.wral.com/growing-concern-in-nc-over-harmful-algae-blooms/20386432/' target='_blank'>Link to Article</a>","2022-07-23","www.wral.com","There's growing concern in North Carolina over harmful algae blooms in water that could be toxic to pets and humans.","Liz McLaughlin",""
"51","Dix Park sunflowers turned into biofuel after they wilt","<a href='https://www.wral.com/dix-park-sunflowers-turned-into-biofuel-after-they-wilt/20376732/' target='_blank'>Link to Article</a>","2022-07-15","www.wral.com","After thousands of visitors take selfies and walks at the sunflower field in Dorthea Dix park, Raleigh Water harvests the seeds to make biodiesel to power equipment.","Liz McLaughlin",""
"52","NC residents demand accountability as chemical polluter expands ...","<a href='https://www.wral.com/nc-residents-demand-accountability-as-chemical-polluter-expands-production/20482217/' target='_blank'>Link to Article</a>","2022-09-19","www.wral.com","Chemours, a spin-off of DuPont, is expanding production after letting toxic ""forever chemicals"" seep into the air, water, and soil. Thousands of North Carolina residents do not have clean drinking water at their homes because of the contamination.","Liz McLaughlin",""
"53","After Hurricane Ian people are faced with the question: Rebuild or ...","<a href='https://www.wral.com/after-hurricane-ian-people-are-faced-with-the-question-rebuild-or-retreat/20543728/' target='_blank'>Link to Article</a>","2022-10-28","www.wral.com","Hurricane Ian is one of the costliest storms to ever hit the U.S. ... with nearly $70 billion in insured losses from Florida to the Carolinas. As rebuilding continues, there are tough questions about the vulnerability of coastal development.","Liz McLaughlin",""
"54","Toxic chemicals pumped into NC's drinking water: Pregnant mom ...","<a href='https://www.wral.com/toxic-chemicals-pumped-into-nc-s-drinking-water-pregnant-mom-family-lived-without-clean-water/20449835/' target='_blank'>Link to Article</a>","2022-09-06","www.wral.com","Hear from the pregnant mother and her family living through a nightmare without clean drinking water. Discover the chemical company not held accountable even decades later.","Liz McLaughlin",""
"55","300,000 tires found in Wrightsville Beach delays renourishment","<a href='https://www.wral.com/300-000-tires-found-in-wrightsville-beach-delays-renourishment/20400584/' target='_blank'>Link to Article</a>","2022-08-02","www.wral.com","The U.S. Army Corps of Engineers found about 300,000 tires of an old reef. In the 1970s, the Division of Marine Fisheries placed more than 600,000 tires in the waters off the Carolina coast.","Liz McLaughlin",""
"56","Legislation for inflation also aims to combat climate change","<a href='https://www.wral.com/legislation-for-inflation-also-aims-to-combat-climate-change/20408682/' target='_blank'>Link to Article</a>","2022-08-08","www.wral.com","After months of painstaking negotiations, Democrats are set to push through a climate, tax and health care package that would salvage key elements of President Joe Biden's domestic agenda.","Liz McLaughlin",""
"57","'Ghost forests' phenomenon changing ecosystems across east coast","<a href='https://www.wral.com/ghost-forests-spreading-inland/20536797/' target='_blank'>Link to Article</a>","2022-10-24","www.wral.com","Scientists say the miles of gray, barren trees taking out once-healthy wetlands are a direct product of climate change.","Liz McLaughlin",""
"58","Utilities Commission to hold final hearings on carbon reduction plans","<a href='https://www.wral.com/utilities-commission-to-hold-final-hearings-on-carbon-reduction-plans/20427828/' target='_blank'>Link to Article</a>","2022-08-22","www.wral.com","The final public hearings take place Tuesday over how to reduce carbon emissions in North Carolina.","Liz McLaughlin",""
"59","Back-to-school: Tips for saving money while shopping green","<a href='https://www.wral.com/back-to-school-tips-for-saving-money-while-shopping-green/20421861/' target='_blank'>Link to Article</a>","2022-08-17","www.wral.com","Parents share tools and tricks to save money while saving the environment when getting ready to send kids back to school this fall.","Liz McLaughlin",""
"60","Are NC's coastal cities prepared for predicted increase in rising tides?","<a href='https://www.wral.com/are-nc-s-coastal-cities-prepared-for-predicted-increase-in-rising-tides/20538511/' target='_blank'>Link to Article</a>","2022-10-25","www.wral.com","We usually associate flooding with rain and hurricanes, but more and more often, coastal communities are facing what's called ""sunny day flooding.""","Liz McLaughlin",""
