"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"57","Despite Rivian plant, Georgia lags in eco-friendly legislation | News ...","<a href='https://www.albanyherald.com/news/despite-rivian-plant-georgia-lags-in-eco-friendly-legislation/article_17fa7ec8-6986-11ec-8a7e-7306b5a6f447.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","ATLANTA -- Electric truck manufacturer Rivian’s recent announcement that it would build a $5 billion plant in Georgia makes it the latest in a string of businesses promising green jobs","Emily Jones",""
"71","What's in Biden's $5.8 trillion budget proposal? | Grist","<a href='https://grist.org/politics/whats-in-bidens-5-8-trillion-budget-proposal/' target='_blank'>Link to Article</a>","2022-03-29","grist.org","Funding for green jobs, climate research, and environmental justice.","Emily Jones",""
"75","Federal agency flags 8 new substances that could give you cancer ...","<a href='https://grist.org/regulation/federal-agency-flags-8-new-substances-that-could-give-you-cancer/' target='_blank'>Link to Article</a>","2022-01-10","grist.org","They include a bacterial infection and six byproducts from water purification.","Emily Jones",""
"77","Conservation groups sue FAA to revoke Spaceport Camden license ...","<a href='https://thecurrentga.org/2022/05/23/conservation-groups-sue-faa-to-revoke-spaceport-camden-license/' target='_blank'>Link to Article</a>","2022-05-23","thecurrentga.org","An 84-page complaint accuses FAA of sloppy decision making and lack of transparency.","Emily Jones",""
"79","The state that wants to end gas car sales by 2030 - Grist | Grist","<a href='https://grist.org/beacon/the-state-that-wants-to-end-gas-car-sales-by-2030/' target='_blank'>Link to Article</a>",NA,"grist.org","Lawmakers in Washington state passed legislation earlier this month requiring all cars “sold, purchased, or registered” in the state to be electric by 2030, beating the deadline set in California by five years.","Emily Jones",""
"86","Veterans entering law enforcement could train with free tuition ...","<a href='https://www.gpb.org/news/2022/02/17/veterans-entering-law-enforcement-could-train-free-tuition' target='_blank'>Link to Article</a>",NA,"www.gpb.org","Georgia lawmakers are hoping to lower the barrier for veterans to enter law enforcement careers by offering tuition-free training. ","Emily Jones",""
"92","Summer Reading: WABE Staff Picks – WABE","<a href='https://www.wabe.org/summer-reading-wabe-staff-picks/' target='_blank'>Link to Article</a>",NA,"www.wabe.org","Here are all our favorite recommendations from Lois, Rose, Lisa and the team here at WABE for your summer reading list.","Emily Jones",""
"93","Local students honored for achievements | Local | albanyherald.com","<a href='https://www.albanyherald.com/local/local-students-honored-for-achievements/article_c656bf38-6669-11ec-b661-73b30ad92df7.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","TIFTON — Students who achieved academic excellence in their course work during fall semester were recently recognized at Abraham Baldwin Agricultural College. ABAC cites its top academic students each semester","Emily Jones",""
"101","Georgians without air conditioning endure dangerous heat – WABE","<a href='https://www.wabe.org/georgians-without-air-conditioning-endure-dangerous-heat/' target='_blank'>Link to Article</a>","2022-08-09","www.wabe.org","On a recent, brutally hot day in Savannah, a group of seniors cooled off in their local community center, in West Savannah. Mahogany Bowers, the founder of local nonprofit Blessings […]","Emily Jones",""
"102","Georgia, Hyundai officials celebrate new electric vehicle plant – WABE","<a href='https://www.wabe.org/georgia-hyundai-officials-celebrate-new-ev-plant/' target='_blank'>Link to Article</a>","2022-10-25","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Georgia political […]","Emily Jones",""
